Model,R2_Train,R2_Test,MAE,RMSE
Linear Regression,0.6636131179069212,0.7105832604035265,635491132.9157645,972611578.9640738
Decision Tree,0.9992337969880454,0.6376967970745782,646515364.9167733,1088212471.646575
Random Forest,0.9631060261965734,0.7977579945775818,513771720.5367901,813042585.6690694
Gradient Boosting,0.941938994532894,0.7901097613189129,516113772.18873525,828273435.6458352
